Institution	Code	Course	EOS	Mid
"ATHLONE IT"	AL801	Software Design (Common Entry	280	335
"ATHLONE IT"	AL820	Mechanical and Polymer Engineering                          	315	365
"ATHLONE IT"	AL830	General Nursing                                             	410	420
"ATHLONE IT"	AL831	Mature Applicants General Nursing                           	#169	173
"ATHLONE IT"	AL832	Psychiatric Nursing                                         	390	395
"ATHLONE IT"	AL833	Mature Applicants Psychiatric Nursing                       	#166	170
"ATHLONE IT"	AL836	Health Science with Nutrition                               	390	415
"ATHLONE IT"	AL837	Sports Science with Exercise Physiology                     	380	395
"ATHLONE IT"	AL838	Biotechnology                                               	295	345
"ATHLONE IT"	AL840	Pharmaceutical Science                                      	275	315
"ATHLONE IT"	AL841	Sports Therapy with Rehabilitation                          	395	425
"ATHLONE IT"	AL842	Bioveterinary Science                                       	340	380
"ATHLONE IT"	AL850	Business                                                    	295	350
"ATHLONE IT"	AL851	Business and Law                                            	270	310
"ATHLONE IT"	AL852	Accounting                                                  	310	365
"ATHLONE IT"	AL854	Business Psychology                                         	295	360
"ATHLONE IT"	AL860	Social Care Practice                                        	320	350
"ARLOW COLLEGE"	PC405	Citizenship and Community Studies                           	255	350
"ARLOW COLLEGE"	PC410	Humanities                                                  	250	310
"ARLOW COLLEGE"	PC411	English and History                                         	265	310
"IT CARLOW"	CW018	Business - Options: Business Digital Marketing (Wexford)   	305	340
"IT CARLOW"	CW028	Early Childhood Education and Care (Wexford)                	265	290
"IT CARLOW"	CW038	Art (Portfolio) (Wexford)                                   	#700	700
"IT CARLOW"	CW068	Applied Social Studies (Professional Social Care) (Wexford) 	285	335
"IT CARLOW"	CW088	Visual Communications and Design (Wexford)                  	235	320
"IT CARLOW"	CW098	Culture and Heritage Studies (Wexford)                      	260	345
"IT CARLOW"	CW108	Biosciences with Bioforensics or Biopharmaceuticals         	305	360
"IT CARLOW"	CW168	Environmental Science                                       	300	330
"IT CARLOW"	CW178	Sport Science                                               	420	435
"IT CARLOW"	CW188	Sports Rehabilitation and Athletic Therapy                  	445	470
"IT CARLOW"	CW198	Strength and Conditioning                                   	400	410
"IT CARLOW"	CW208	Computer Games Development                                  	325	360
"IT CARLOW"	CW238	Software Development                                        	335	360
"IT CARLOW"	CW248	Computer Systems Management                                 	325	350
"IT CARLOW"	CW438	Quantity Surveying                                          	255	285
"IT CARLOW"	CW448	Facilities and Energy Management                            	245	285
"IT CARLOW"	CW468	Architectural Technology                                    	275	335
"IT CARLOW"	
"IT CARLOW"	CW478	Civil Engineering                                           		
"IT CARLOW"	CW548	Mechanical Engineering                                      	310	345
"IT CARLOW"	CW558	Electronic Systems                                          	340	385
"IT CARLOW"	CW568	Aero Engineering                                            	380	410
"IT CARLOW"	CW578	TV and Media Production                                     	340	365
"IT CARLOW"	CW708	Law - LLB                                                   	290	330
"IT CARLOW"	CW728	Product Design Innovation                                   	310	360
"IT CARLOW"	CW748	Early Childhood Education and Care                          	290	320
"IT CARLOW"	CW758	Applied Social Studies (Professional Social Care)           	315	350
"IT CARLOW"	CW788	Youth and Community Work                                    	280	320
"IT CARLOW"	CW808	Media and Public Relations                                  	285	330
"IT CARLOW"	CW838	Business - Marketing                                        	280	335
"IT CARLOW"	CW858	Sport Management and Coaching  (Options: GAA Rugby Soccer   	#700	700
"IT CARLOW"	CW908	Business - Management                                       	280	340
"IT CARLOW"	CW928	Business - Human Resource Management                        	290	320
"IT CARLOW"	CW938	Business with Law                                           	285	365
"IT CARLOW"	CW948	Accounting                                                  	345	390
"CORK IT"	CR105	Chemical and Biopharmaceutical Engineering                  	410	485
"CORK IT"	CR106	Software Development                                        	320	380
"CORK IT"	CR108	Mechanical Engineering                                      	395	460
"CORK IT"	CR109	Structural Engineering                                      	495	505
"CORK IT"	CR112	Multimedia                                                  	355	380
"CORK IT"	CR116	Software Development and Computer Networking                	315	365
"CORK IT"	CR121	Music at CIT Cork School of Music                           	#855	
"CORK IT"	CR125	Popular Music: Electric Bass Guitar at CIT Cork School of Mu	#675	865
"CORK IT"	CR126	Popular Music: Drums  at CIT Cork School of Music           	#770	900
"CORK IT"	CR127	Popular Music: Electric Guitar at CIT Cork School of Music  	#855	965
"CORK IT"	CR128	Popular Music: Keyboards  at CIT Cork School of Music       	#850	895
"CORK IT"	CR129	Popular Music: Voice at CIT Cork School of Music            	#860	940
"CORK IT"	CR150	Business Information Systems                                	365	395
"CORK IT"	CR210	Contemporary Applied Art at CIT Crawford College of Art and 	#625	965
"CORK IT"	CR220	Fine Art at CIT Crawford College of Art and Design          	#400	860
"CORK IT"	CR305	Physical Sciences (Common Entry)                            	310	340
"CORK IT"	CR310	IT  Management                                              	310	345
"CORK IT"	CR312	Web Development                                             	300	335
"CORK IT"	CR320	Biomedical Science - Joint CIT and UCC  programme           	520*	540
"CORK IT"	CR325	Pharmaceutical Biotechnology                                	340	380
"CORK IT"	CR330	Herbal Science                                              	325	365
"CORK IT"	CR333	Nutrition and Health Science                                	365	405
"CORK IT"	CR340	Analytical Chemistry with Quality Assurance                 	340	380
"CORK IT"	CR360	Instrument Engineering                                      	340	405
"CORK IT"	CR365	Environmental Science and Sustainable Technology            	275	365
"CORK IT"	CR400	Accounting                                                  	310	385
"CORK IT"	CR420	Marketing                                                   	280	330
"CORK IT"	CR500	Engineering (Common Entry)                                  	350	420
"CORK IT"	CR510	Sustainable Energy                                          	300	365
"CORK IT"	CR520	Biomedical Engineering                                      	410	490
"CORK IT"	CR560	Architectural Technology                                    	285	340
"CORK IT"	CR565	Interior Architecture                                       	280	325
"CORK IT"	CR570	Quantity Surveying                                          	280	350
"CORK IT"	CR572	Construction Management                                     	240	310
"CORK IT"	CR580	Electrical Engineering                                      	300	380
"CORK IT"	CR590	Electronic Engineering                                      	305	345
"CORK IT"	CR600	Visual Communications                                       	#450	805
"CORK IT"	CR660	Tourism                                                     	280	320
"CORK IT"	CR700	Theatre and Drama Studies at CIT Cork School of Music       	#585	925
"UNIVERSITY COLLEGE CORK"	CK101	Arts                                                        	345	400
"UNIVERSITY COLLEGE CORK"	CK102	Social Science                                              	405	435
"UNIVERSITY COLLEGE CORK"	CK103	Music                                                       	#390	435
