Institution	Code	Course	EOS	Mid
"Athlone Institute of Technology"	AL801	Software Design (Game Development or Cloud Computing)	295	326
"Athlone Institute of Technology"	AL810	Quantity Surveying	300	340
"Athlone Institute of Technology"	AL820	Mechanical and Polymer Engineering	299	371
"Athlone Institute of Technology"	AL830	General Nursing	418	440
"Athlone Institute of Technology"	AL832	Psychiatric Nursing	377	388
"Athlone Institute of Technology"	AL836	Health Science with Nutrition	354	389
"Athlone Institute of Technology"	AL837	Sports Science with Exercise Physiology	346	369
"Athlone Institute of Technology"	AL838	Biotechnology	301	338
"Athlone Institute of Technology"	AL839	Microbiology	318	380
"Athlone Institute of Technology"	AL840	Pharmaceutical Science	312	388
"Athlone Institute of Technology"	AL841	Athletic and Rehabilitation Therapy	402	431
"Athlone Institute of Technology"	AL842	Bioveterinary Science	304	367
"Athlone Institute of Technology"	AL843	Physical Activity and Health Science	317	337
"Athlone Institute of Technology"	AL844	Toxicology and Analytical Science	337	421
"Athlone Institute of Technology"	AL850	Business	308	359
"Athlone Institute of Technology"	AL851	Business and Law	300	359
"Athlone Institute of Technology"	AL852	Accounting (with optional placement)	306	366
"Athlone Institute of Technology"	AL853	Accounting and Law	377	397
"Athlone Institute of Technology"	AL855	Hospitality Management (with International Placement)	310	337
"Athlone Institute of Technology"	AL860	Social Care Practice	300	338
"Athlone Institute of Technology"	AL861	Animation and Illustration (Portfolio /Interview Required)	#789	948
"Athlone Institute of Technology"	AL870	Applied Psychology (4 year programme)	366	390
"Institute of Technology, Carlow"	CW018	Business (with options - Wexford)	250	356
"Institute of Technology, Carlow"	CW028	Early Childhood Education and Care (Wexford)	249	308
"Institute of Technology, Carlow"	CW038	Art (Portfolio - Wexford)	#700	700
"Institute of Technology, Carlow"	CW068	Applied Social Studies - Professional Social Care (Wexford)	260	287
"Institute of Technology, Carlow"	CW078	Sustainable Farm Management and Agribusiness (Wexford)	270	324
"Institute of Technology, Carlow"	CW088	Visual Communications and Design (Wexford)	270	327
"Institute of Technology, Carlow"	CW108	Biosciences (with options)	276	329
"Institute of Technology, Carlow"	CW178	Sport Science (with options)	390	412
"Institute of Technology, Carlow"	CW188	Sport Rehabilitation and Athletic Therapy	440	464
"Institute of Technology, Carlow"	CW208	Computer Games Development	280	347
"Institute of Technology, Carlow"	CW238	Software Development	298	326
"Institute of Technology, Carlow"	CW248	Information Technology Management	288	329
"Institute of Technology, Carlow"	CW258	Cybercrime and IT Security	290	319
"Institute of Technology, Carlow"	CW438	Construction (with options QSY/FBS)	263	303
"Institute of Technology, Carlow"	CW468	Architectural Technology	260	317
"Institute of Technology, Carlow"	CW478	Civil Engineering	331	372
"Institute of Technology, Carlow"	CW548	Mechanical Engineering	323	352
"Institute of Technology, Carlow"	CW558	Electronic Systems	262	323
"Institute of Technology, Carlow"	CW568	Aerospace Engineering	368	412
"Institute of Technology, Carlow"	CW578	TV and Media Production	360	388
"Institute of Technology, Carlow"	CW708	Law - LLB	298	343
"Institute of Technology, Carlow"	CW728	Product Design Innovation	252	330
"Institute of Technology, Carlow"	CW748	Early Childhood Education and Care	275	308
"Institute of Technology, Carlow"	CW758	Applied Social Studies - Professional Social Care	270	317
